source,author,title,description,url,publishedAt,content
Wired,Julian Chokkattu,Apple’s iPhone Camera App Is Getting an AI Upgrade in iOS 27,"Siri is now directly embedded into the camera app, and there are more artificial intelligence tools in the Photos app to alter your images.",https://www.wired.com/story/apples-iphone-camera-app-is-getting-an-ai-upgrade-in-ios-27/,2026-06-08T18:40:32Z,"Your iPhone camera app will look a little different this fall. On Monday at its annual Worldwide Developers Conference in Cupertino, California, Apple showed off new features in its next version of i… [+2335 chars]"
Wired,Matt Kamen,The Best Movies to Stream This Month (June 2026),"“I Am Frankelda,” “A.I. Artificial Intelligence,” and “From Russia With Love” are among the films deserving of your eyeballs this month.",https://www.wired.com/story/the-12-best-movies-to-stream-right-now/,2026-06-23T16:00:00Z,"Temperatures may be soaring, but theres an unseasonable chill on screens right nowat least when it comes to some of the movie offerings hitting streaming services this month.
Director Yorgos Lanthim… [+3638 chars]"
BBC News,,Anthropic: AI could escape human control,US firm proposes coordinated global slowdown on building advanced artificial intelligence,https://www.bbc.co.uk/sounds/play/p0nqck86?at_campaign=rss,2026-06-05T15:43:00Z,"Available for 29 days
One of the biggest artificial intelligence developers, the US firm Anthropic, has proposed a coordinated global slowdown on building advanced AI systems, saying that the latest… [+1360 chars]"
Hackaday,Maya Posch,But Just What is This ‘Artificial Intelligence’?,"In the world of buzzwords, the acronym ‘AI’ has absolutely been the buzziest of buzzing buzzwords for at least a few years now. Where previously terms like ‘smart’ and ‘intelligent’ …read more",https://hackaday.com/2026/06/03/but-just-what-is-this-artificial-intelligence/,2026-06-03T14:00:50Z,"In the world of buzzwords, the acronym ‘AI’ has absolutely been the buzziest of buzzing buzzwords for at least a few years now. Where previously terms like ‘smart’ and ‘intelligent’ sufficed to promo… [+9366 chars]"
CNET,Omar Gallaga,Trump's New AI Executive Order Has No Teeth and No Requirements,"The order, intended to review artificial intelligence models that could pose risks to the US, is strictly voluntary.",https://www.cnet.com/tech/services-and-software/trump-ai-executive-order-has-no-requirements/,2026-06-02T22:45:58Z,"Under an executive order issued by President Donald Trump, AI companies such as OpenAI and Anthropic are being asked to submit advanced artificial intelligence models to the government for vetting on… [+3427 chars]"
CNET,Laura Michelle Davis,Apple's Price Hikes Aren't Just an AI Problem,Commentary: The boom in artificial intelligence is causing a memory chip shortage. Apple decided to make us pay for it.,https://www.cnet.com/tech/computing/apple-price-hikes-not-unavoidable-blame-ai-boom/,2026-06-28T11:01:00Z,"Last week, in an exclusive interview with the Wall Street Journal, outgoing Apple CEO Tim Cook warned that the memory chip crunch made price increases ""unavoidable."" He also made what seemed like a p… [+10098 chars]"
Business Insider,Natalie Musumeci,Amazon Web Services CEO says half of white-collar jobs may 'change' due to AI — but it won't be a 'wipe-out',"Matt Garman, the CEO of AWS, pushed back on fears that artificial intelligence will decimate large swaths of the workforce.",https://www.businessinsider.com/amazon-aws-ceo-matt-garman-white-collar-jobs-change-ai-2026-6#article,2026-06-24T17:19:26Z,"Amazon Web Services CEO Matt Garman says AI will create jobs.Noah Berger/Getty Images for Amazon Web Services
<ul><li>Amazon Web Services CEO Matt Garman argued AI will transform, not eliminate, job… [+2650 chars]"
Kotaku,Lewis Parker,A24 Fans Mourn Its Death After The Backrooms Studio Signs $75 Million Google AI Deal: ‘Membership Cancelled’,"A24's 'artificial-intelligence research partnership' with Google DeepMind has, unsurprisingly, pissed off the studio's fanbase",https://kotaku.com/a24-ai-backrooms-google-deepmind-deal-2000709598,2026-06-23T20:07:56Z,"A24, the independent film production studio behind the likes of Backrooms, Uncut Gems, Everything Everywhere All at Once, and Hereditary, has signed an artificial-intelligence research partnership de… [+2309 chars]"
Gizmodo.com,Bruce Gil,Mistral CEO Says the Pope’s Comments Are a Big Problem for Europe’s War on American Tech,CEO Arthur Mensch argues Europe needs its own advanced AI capabilities in order to avoid getting left behind by American rivals.,https://gizmodo.com/mistral-ceo-says-the-popes-comments-are-a-big-problem-for-europes-war-on-american-tech-2000764700,2026-05-28T19:20:40Z,"Mistral CEO Arthur Mensch is pushing back against Pope Leo XIVs recent call for AI to be disarmed, arguing that Europe cant afford to fall behind U.S. tech giants in the race for advanced AI.
We’re … [+3597 chars]"
Wired,Luke Larsen,MacOS 27 Golden Gate: Top New Features,"Apple has announced the latest version of macOS. It's all about the reintroduction of Siri, which is now accessible from anywhere on the Mac desktop.",https://www.wired.com/story/macos-27-golden-gate-top-features/,2026-06-09T17:33:21Z,"One of the most interesting new features is Custom Extensions, which lets you create an extension for Safari in natural language. Lastly, the new version of Safari will work the Passwords app to auto… [+2328 chars]"
Business Insider,Chris Panella,US Army soldiers say you can't just pour AI on new warfighting tech like ranch dressing,"Artificial intelligence has specific uses in the Army's new command system, and soldiers said they remain in the loop with the new tools.",https://www.businessinsider.com/us-army-soldiers-ai-cant-be-poured-warfighting-tech-ranch-2026-6,2026-06-11T09:42:01Z,"Last month, soldiers conducted a live-fire exercise in Colorado, marking the latest test of NGC2.US Army photo by Staff Sgt. Richard Stewart
<ul><li>Soldiers working on the US Army's NGC2 platform s… [+4753 chars]"
Whitehouse.gov,Ellie Acra,Promoting Advanced Artificial Intelligence Innovation and Security,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered: Section 1.  Purpose.",http://www.whitehouse.gov/presidential-actions/2026/06/promoting-advanced-artificial-intelligence-innovation-and-security/,2026-06-02T16:36:50Z,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:
Section1.  Purpose.  The United States continues to lead the world … [+7766 chars]"
The Atlantic,Ted Chiang,Artificial intelligence is not conscious – Ted Chiang,"Taken to its logical conclusion, this line of thinking is absurd—and damning.",https://www.theatlantic.com/philosophy/2026/06/no-artificial-intelligence-is-not-conscious/687378/,2026-06-03T17:51:37Z,"Anthropic is regarded as a giant among AI companies, but perhaps what it really excels in is anthropomorphism. Earlier this year, the company released an 84-page document titled Claudes constitution,… [+35008 chars]"
